synthetic,"a.合成的,人造的;综合的"
resolve,"v.决心;(使)分解,溶解;决议?n.解决;决心"
resistant,"a.(to)抵抗的,有抵抗力的"
resistance,"n.(to)抵抗,反抗;抵抗力,阻力;电阻"
resist,"v.抵抗,反抗;抗,忍得住,抵制"
resign,"v.辞去,辞职,使听从(于),使顺从"
reserve,"n.储备(物),储备金;缄默?v.保留,储备;预定"
proof,"n.证据,证明;校样,样张"
prompt,"a.敏捷的,迅速的,即刻的?v.激起,促进,推动"
prominent,"a.突起的,凸出的;突出的,杰出的"
profound,"a.深刻的,意义深远的;渊博的,造诣深的"
mount,"v.登上;安装n.支架,底板;(用于山名前)山峰"
multitude,"n.众多,大量"
intelligible,a.可理解的，明白易懂的，清楚的
intelligent,"a.聪明的,明智的,理智的"
intelligence,"n.智力,聪明;理解力;情报,消息,报导"
intellectual,n.知识分子?a.智力的，理智的，有理解力的
exploit,v.开拓;开发;剥削?n.功绩[勋];业绩
explicit,"a.详述的,明确的;坦率的;显然的"
drastic,"a.激烈的,严厉的;(药性等)猛烈的"
dramatic,"a.戏剧的,戏剧性的;剧烈的"
counterpart,n.对应的人(或物)
council,"n.理事会,委员会,议事机构"
corrupt,"v.贿赂,收买?a.腐败的,贪污的"
corresponding,"a.符合的,相应的,对应的"
correspond,"v.通信,(with)符合,一致;(to)相当于,对应"
corporation,n.市镇自治机关；法人；公司，企业
cope,"v.(with)竞争,对抗;(with)对付,妥善处理"
coordinate,"a.同等的,并列的;坐标的?n.坐标"
assurance,"n.保证,担保；确信,断言；信心,信念"
triumph,"n.胜利,成功?v.得胜,战胜"
triple,n.三倍数?a.三倍的;三部分构成的v.使成三倍
suicide,n.自杀；给自己带来恶劣后果的行为
sue,"v.控告,对…提出诉讼,起诉"
suck,v.&n.吸，舐；吸收(取)
subtle,"a.精巧的,巧妙的;细微的,微妙的"
proclaim,"v.宣告,声明"
proceed,"v.进行,继续下去;发生"
integrity,"n.正直,诚实;完整,完全"
integrate,"v.(into,with)(使)成为一体,(使)结合在一起"
insurance,"n.保险,保险费,保险业"
instrument,"n.工具,仪器,器械;乐器"
fuss,"n./v.忙乱,大惊小怪"
expire,"v.期满,(期限)终止;呼气;断气,死亡"
doze,v./n.瞌睡;假寐
doom,"n.厄运,劫数?v.注定,命定"
dominant,"a.支配的,统治的,占优势的"
domestic,a.家里的;本国的;驯养的
conviction,"n.深信,确信；定罪，判罪；"
convert,"v.变换,转换；改变（信仰等）；兑换（钱）"
convention,"n.大会,会议;惯例,常规,习俗;公约,协定"
conventional,"a.惯例的,常规的"
controversy,n.争论，辩论，争吵
assumption,n.假定，设想；采取；承担；推测；假装
assume,vt.假装；假定，设想；承担；呈现，采取
assimilate,vt.吸收，消化；使同化?vi.被吸收；被同化
assess,vt.(为征税)评估(财产、收入)；征税；评价
representative,"n.代表,代理人?a.(of)典型的,有代表性的"
repel,"v.击退,抵制,使厌恶,使不愉快"
reign,"n./v.统治,支配,盛行?n.统治时期?v.占优势"
regulate,"v.管制,控制;调节,校准;调整"
refute,"v.反驳,驳斥"
resent,"v.对…表示忿恨,怨恨"
assign,vt.派给，分配；选定，指定(时间、地点等)
trim,"a.整齐的,整洁的?v./n.整理,修整,装饰"
trifle,"n.少量；小事,琐事?v.玩弄；嬉耍；忽视"
trial,n.讯问，审讯；试验；试用；尝试
treaty,n.条约，协议，协商
substitute,"n.代替者；替身；代用品?v.(for)代替,替换"
substantial,a.实质的;相当的;显著的;坚固的;富裕的
substance,n.物质；实质，本质；主旨；财产，资产
subscribe,vi.(to)订阅，订购；同意vt.捐助，赞助
subordinate,"a.(to)次要的,从属的;下级的"
subjective,a.主观(上)的，个人的
privilege,"n.特权,优惠,特许?v.给予优惠,给予特权"
prior,"a.优先的,在前的;(to)在…之前"
morality,"n.道德,美德"
moral,"a.道德(上)的,精神上的?n.寓意,教育意义"
instance,"n.例子,事例,例证"
exotic,a.奇异的;异国情调的;外(国)来的
exhaust,"v.使筋疲力尽,耗尽;抽完?n.排气装置;废气"
exert,"v.尽(力),施加(压力等),努力"
exclude,"v.拒绝,把…排除在外,排斥"
divorce,"v./n.离婚,分离"
division,"n.分,分割;部门,科,处;除法;分界线"
dividend,n.红利，股息；回报，效益；被除数
divert,vt.使转向，使改道；转移(注意力)；使娱乐
distinguish,"v.(from)区别,辨别;辨认出;使杰出"
contrast,n.对比，对照?vi.形成对比?vt.把…与…对比
contradict,"v.反驳;同…矛盾,同…抵触"
contract,n.(承包)合同/契约?v.订合同/契约；使缩小
context,n.（文章等）前后关系；(事件等的)背景
contest,"n.竞争,竞赛,比赛?v.竞争,比赛,争论"
contend,"v.竞争,斗争;坚决主张"
contempt,n.轻视，藐视；受辱，丢脸
contemporary,"a.现代的,当代的;同时代的"
render,"v.使得,致使;提出,提供,呈报"
remedy,"n.药品;治疗措施?v.治疗,医治;纠正,补救"
remark,"n.(about,on)评语,意见?v.(on)评论;注意到"
remote,"a.远的,遥远的,疏远的,偏僻的,细微的"
likewise,"ad.同样地,照样地;又,也,而且"
liberal,"a.慷慨的,大方的;富足的;自由的,思想开放的"
liable,a.有...倾向的；可能遭受...的；有责任的
liability,"n.责任,义务;(pl.)债务"
stun,vt.使…失去知觉；使目瞪口呆，使吃惊
strip,"v.剥,剥去?n.窄条,条纹"
striking,a.显著的；惹人注目的，容貌出众的
stride,vi.大踏步走；跨越?n.一大步(pl.)长足进步
primitive,"a.原始的,远古的,早期的;粗糙的,简单的"
monotonous,"a.单调的,无变化的"
monopoly,"n.垄断,专卖,专利权,专利事业"
huddle,n./v.拥挤;聚集v.(因寒冷、害怕而)缩成一团
hover,vi.(鸟)盘旋，翱翔，(人)逗留在附近徘徊
assert,"vt.断言,宣称；坚持；主张（权利、权威等）"
assault,v.猛烈地攻击，袭击?n.突然而猛烈的攻击
distract,v.分散;使分心;打扰;使心情烦乱
distinct,"a.清楚的,明显的;(from)截然不同的"
consumption,"n.消费(量),消耗"
constrain,vt.限制，约束；克制，抑制
constitution,"n.构成,构造,组成(方式),成分;体格;宪法"
constituent,n.选民；成分，组分a.组成的，构成的
conspiracy,n.阴谋，密谋，共谋
conspicuous,"a.显眼的,明显的"
consist,"v.(in)在于,存在于;(of)由…组成,由…构成"
console,n.控制台，仪表板；落地柜?vt.安慰，慰问
dispute,"n.争论,争执?v.争论,辩论;反驳;怀疑;阻止"
considerate,"a.考虑周到的,体谅的"
considerable,"a.相当大(或多)的,可观的;值得考虑的"
consent,"v./n.(to)同意,赞成,答应"
virtue,"n.德行,美德;贞操;优点;功效,效力"
transient,a.短暂的，转瞬即逝的；临时的，暂住的
religious,"a.宗教的,信教的,虔诚的"
religion,"n.宗教,信仰"
prey,"n.被掠食者,牺牲者,掠食?v.捕食,掠夺,折磨"
prevail,"v.(over,against)取胜,占优势;流行,盛行"
presume,"v.假定,假设,认为,揣测,滥用,擅自行动"
presumably,"ad.推测起来,大概"
preserve,"v.保护,维持;保存,保藏"
presently,"ad.一会儿,不久;现在,目前"
prescription,"n.药方,处方"
prescribe,"v.指示,规定;处(方),开(药)"
negligible,a.可忽略不计的，微不足道的
initiative,"a.创始的,起始的?n.第一步,创始,主动精神"
initiate,vt.开始，创始，发动；启蒙，使入门；引入
hop,v.人单足跳;跳上(车等)?n.蹦跳;短程飞行
relevant,"a.有关的,中肯的,相应的,实质性的"
release,"v.释放,解放;发表,发行?n.释放,豁免,放松"
relate,"v.叙述,讲述;使互相关联"
reject,"v.拒绝,抵制,丢弃,排斥,退掉?n.落选者"
rein,"n.缰绳,统治,支配?v.驾驭,控制,统治"
premium,"n.额外费用,奖金,奖赏,保险费"
premise,"n.前提,房屋连地基v.提论,预述,假定"
premier,"n.首相,总理"
preliminary,"a.预备的,初步的"
prejudice,"n.偏见,成见;损害,侵害?v.使抱偏见,损害"
preface,"n.序言,引言,前言?v.作序,写前言"
predecessor,n.前辈，前任
overlook,"v.看漏,忽略;俯瞰,眺望;宽容,放任"
moderate,"a.有节制的,中等的,适度的,温和的,稳健的"
mock,"v.嘲笑?a.假的,模拟的?n.(常pl.)模拟考试"
infer,"v.推论,推断"
exceedingly,"ad.极端地,非常"
exceed,"v.超过,胜过;越出"
evidence,n.明显;显著;根据;证据;迹象
dispose,"v.(of)处理,处置;(for)布置,安排"
disperse,v.(使)分散;(使)散开;疏散
dismiss,"v.免职,解雇,开除,解散"
confront,"v.使面临,使遭遇;面对(危险等)"
conform,vi.(to)遵守，适应；相似，一致，符合
bump,"v.(against,into)碰;颠簸着前进?n.碰撞"
stock,"n.备料,库存,现货;股票,公债?v.储存"
stitch,n.一针；(因跑步引起的)肋部剧痛?v.缝(合)
stimulate,"v.刺激,使兴奋;激励,鼓舞"
precise,"a.精确的,准确的"
precious,"a.珍贵的,贵重的"
precede,"v.领先(于),在(…之前);优先,先于"
preach,"v.宣讲(教义),布道;竭力鼓吹,宣传;说教"
practitioner,n.实践者，从事者；(医生或律师等)开业者
misery,"n.痛苦,悲惨,不幸"
miserable,"a.痛苦的,悲惨的"
inevitable,"a.不可避免的,必然发生的"
indulge,v.放任，纵容，沉溺；使(自己)纵情享受
ethnic,a.种族的；人种学的
disguise,"n./v.假装,伪装"
disgrace,"n.失宠,耻辱?v.使失宠;玷辱,使蒙羞"
discriminate,"v.区别,辨别;(against)有差别地对待,歧视"
transaction,"n.办理,处理;交易,事务;(pl.)会报,学报"
trait,"n.特征,特点,特性"
confine,vt.限制；使不外出，禁闭n.[pl.]界限，范围
stern,"a.严厉的;坚决的,坚定的?n.船尾,舟尾"
stem,n.茎，干?vt.堵(挡)住?vi.起源于，由…造成
steer,vt.驾驶，为…操舵；引导vi.驾驶
status,"n.地位,身份;情形,状况"
starve,"v.(使)饿死,饿得慌,挨饿"
startle,"v.惊吓,使吃惊"
stain,"n.污点,瑕疵?v.沾污;染色"
staff,"n.全体职工;杠,棒;参谋部?v.配备工作人员"
reform,"v./n.改革,改造,改良"
overlap,"v.重叠,与…交叠?n.重叠"
overall,"a.全面的,综合的?n.(pl.)(套头)工作服"
nasty,"a.肮脏的,卑劣的,下流的;令人厌恶的"
minor,"a.较小的,较小的?n.兼修学科?v.(in)兼修"
loan,"n.贷款;出借,借出?v.借出"
individual,"a.个人的,单独的;独特的?n.个人,个体"
discharge,"v./n.卸货,排出;发射,放(电);遣散,解雇"
confer,v.商讨；授予，颁给(勋衔，学位等)
conduct,"n.行为,品行?v.引导;管理;指挥(乐队);传导"
condense,v.(使)冷凝，(使)凝结；浓缩，压缩，简缩
condemn,"v.谴责,指责;判刑,宣告有罪"
anxiety,n.挂念，焦虑，焦急，忧虑；渴望，热望
anticipate,vt.预料；期望；预先考虑；抢先；提前使用
annoy,vt.使恼怒，使生气；打扰?vi.招人讨厌
anguish,n.(尤指心灵上的)极度痛苦，烦恼
spur,"n.靴刺,马刺;刺激,刺激物?v.刺激,激励"
spot,"n.斑点;地点?v.认出,认清,发现;玷污,弄脏"
spoil,"v.损坏,搞错;宠坏,溺爱"
refer,"v.参考,查询;提到,引用,涉及;提交,上呈"
mild,"a.温和的,轻微的,味淡的,不含有害物质的的"
indispensable,"a.(to,for)必不可少的,必需的"
indignant,"a.愤慨的,愤慨不平的"
epidemic,a.流行性的;传染的?n.流行病;传播
entitle,v.给以权利(或资格);给…称号(题名);授权
directly,"ad.直接地,径直地;马上,立即"
dim,"a.暗淡的,模糊的"
digest,vt.消化；领会，融会贯通?n.文摘，摘要
concrete,"a.具体的,实质性的n.混凝土v.用混凝土修筑"
concise,"a.简明的,简洁的"
conceive,"v.(of)设想,构思,想象;以为;怀胎,怀有"
compromise,n.妥协，折衷vi.妥协vt.危及，放弃(原则等)
comprise,vt.包含，包括，由...组成；构成，组成
comprehensive,"a.内容广泛的,总括性的，综合的"
compose,"v.组成,构成;(of)由…组成;创作(诗歌等)"
bulk,"n.体积,容积;主体,大批,大量,大块"
ample,a.充分的，富裕的；宽敞的，宽大的
ambiguous,a.引起歧义的，模棱两可的，含糊不清的
possession,"n.持有,拥有;所有权;所有物;(pl.)财产,财富"
possess,"v.占有,拥有"
positive,"a.肯定的,积极的,绝对的,无疑的,正的"
sphere,"n.球,球体;范围,领域"
speculate,vi.思索；推测vt.投机；思索，推测
spectacle,"n.(pl.)眼镜;场面,景象;奇观,壮观"
specific,"a.明确的,具体的;特定的,特有的"
recur,v.(尤指不好的事)一再发生；重现
rectify,"v.纠正,整顿,?[化]精馏"
portray,v.描写，描述；画(人物、景象等)
outrage,"n.暴行,侮辱,愤怒?v.凌辱,引起…义愤,强奸"
merit,"n.优点,价值,功绩?v.值得,应得"
indicate,"v.指出,指示;表明,暗示"
fragile,a.易碎的，脆的，易损坏的；虚弱的，脆弱的
entertain,"v.招待,款待;使娱乐;使欢乐;容纳,接受"
enterprise,"n.事业,企(事)业单位;事业心,进取心"
encounter,"n./v.遇到,遭遇"
diffuse,"v.扩散;传播?a.(文章等)冗长的,漫无边际的"
comply,v.(with)遵照，照做，应允；顺从，服从
complex,"a.复杂的;合成的,综合的?n.联合体"
complaint,n.抱怨，诉苦，怨言，控告；疾病
compile,vt.编辑，编制，搜集
compatible,"a.能和睦相处的,合得来的;兼容的"
compare,vt.(to，with)比较；(to)把…比作vi.相比
compact,"a.紧密的,结实的;简明的?v.使紧凑,压缩"
allocate,v.分配，分派；拨给；划归
agreeable,"a.符合的,一致的；欣然同意的；令人愉快的"
agitate,v.摇动(液体)；使焦虑不安；困扰；鼓动
brittle,a.易碎的；脆弱的；冷淡的；(声音)尖利的
brisk,a.轻快的;生气勃勃的;兴隆的
ponder,"v.沉思,考虑"
poll,n.民意测验;(pl.)政治选举?v.获得…选票
polish,"v.磨光,擦亮;使优美,润饰?n.擦光剂,上光蜡"
poisonous,"a.有毒的,恶意的,恶毒的,道德败坏的"
plunge,"v.(into)(使)投入,(使)插进,陷入;猛冲"
plug,"n.塞子,插头?v.堵,塞,插上,插栓"
plausible,"a.似是而非的,似乎合理的,似乎可信的"
outline,"n.轮廓,略图;大纲,梗概?v.概述,略述"
outlet,"n.出路,出口;销路,市场;发泄方法;电源插座"
entail,vt.使承担;需要;把(疾病等)遗传给;限定
device,"n.装置,设备,仪表;方法,设计"
determine,"v.决心,决定;确定,限定"
deteriorate,"v.(使)恶化,(使)变坏"
communication,"n.通讯,传达;(pl.)通讯系统;交通(工具)"
commission,"n.委员会;委任,委托(书),代办;佣金,手续费"
commend,v.称赞，表扬：委托保管；推荐
column,"n.圆柱,柱状物;列;(报刊中的)专栏"
collide,vi.[with]互撞，碰撞；冲突，抵触
collective,"n.集体?a.集体的,共同的"
coincidence,n.巧合；同时发生，共同存在；符合，一致
coincide,vi.同时发生；巧合；一致；相符；
breed,"v.(使)繁殖,生殖;产生;教养,抚养?n.品种"
breach,n.违反，不履行；破裂?vt.冲破，攻破
affiliate,v.使隶属(或附属)于?n.附属机构，分公司
aesthetic,a.(esthetic)美学的，艺术的；审美的
splash,"v.溅,泼?n.溅,飞溅声"
spite,n.恶意;怨恨
spill,"v.溢出,溅出?n.摔下,跌下"
sociable,a.好交际的，友好的，合群的
soar,vi.(指鸟等)高飞，翱翔；飞涨；高耸
soak,"v.浸泡,浸湿,浸透"
snatch,"n./v.攫取,抢夺"
snap,v.啪地移动；(使）突然断开，断开（成两截)
slip,"v.滑,滑倒;滑掉;溜走n.疏忽,小错,口误,笔误"
slim,"a.苗条的;(机会)少的?v.减轻体重,变苗条"
slight,"a.轻微的,微小的;纤细的,瘦弱的"
recruit,v.征募(新兵)，吸收；补充?n.新成员，新兵
recover,"v.收回;(from)恢复,痊愈;重新获得"
reconcile,"v.使和好,调解,使调和;(to,with)使一致"
reckon,"v.计算,总计,估计,猜想,依赖"
reclaim,"v.要求归还,收回;开垦"
foul,a.污秽的;邪恶的?v.弄脏;妨害;犯规?n.犯规
formulate,v.?用公式表示;规划;设计;系统地阐述
enlighten,"v.启发,启蒙,教导"
detain,"v.耽搁;扣押,拘留"
detach,"vt.分开,?分离,?分遣,?派遣(军队)"
clutch,"v.抓住,攫住,掌握?n.离合器"
cluster,"n.丛,群,串?v.群集,丛生"
cling,v.(to)粘住;依附;坚持
vicious,"a.恶毒的,凶残的,邪恶的"
vice,"n.邪恶;恶习;(pl.)台钳,老虎钳"
toss,vt.向上掷/扔；摇摆，颠簸?n.投，扔；摇动
torture,"v.拷问,拷打;折磨,磨难?n.拷问;折磨,痛苦"
brand,"n.商标,标记,牌子?v.使铭记;打火印,打烙印"
brace,"v.使防备;支撑;使(手,足,肩等)绷紧?n.托架"
bound,v./n.跳(跃)?a.被束缚的，一定的；n.界限
bounce,"n./vi.(球)弹起,弹回；弹起,跳起；n.弹力"
slack,"a.懈怠的,松驰的;萧条的?n.淡季;(pl.)便裤"
plot,"n.秘密计划;情节?v.标绘,绘制;密谋,策划"
simulate,"v.模仿,模拟;假装,冒充"
menace,vt./n.有危险性的人(或物)；威胁，威吓
literally,"ad.照字面意义,逐字地;确实"
incorporate,"v.合并,纳入,结合?a.合并的"
incline,"v.(使)倾斜;(使)倾向于?n.斜坡,斜面"
incentive,n.刺激;动力;鼓励;诱因;动机
ground,n.地，地面，土地；场地，场所；理由，根据
gross,"a.总的,毛(重)的;粗鲁的,粗俗的?n.总额"
grim,a.严酷的，令人害怕的；不愉快的，讨厌的
forge,"v.锻造,伪造?n.锻工车间;锻炉"
engage,"v.(in)从事,着手;约定;使订婚;保证;雇用"
desperate,a.不顾一切的，铤而走险的；绝望的，危急的
despair,n.绝望;失望;令人失望的人(事物)v.绝望
border,"n.边界,国界;边(沿)?v.交界,与…接壤;接近"
choke,"v.窒息,噎住;闷塞,堵塞,阻塞"
toll,n.(道路、桥等的)通行费；牺牲；死伤人数
sow,v.播种
sovereign,a.独立的，有主权的?n.君主，国王，统治者
sophisticated,"a.尖端的,复杂的,先进的;老练的,老于世故的"
shed,"v.流出;发散,散发,脱落,脱去?n.棚,小屋"
sharp,a.锋利的;轮廓分明的;急转的ad.(指时刻)正
shabby,"a.简陋的,破旧的,卑鄙的,不公平的"
severe,"a.严厉的;剧烈的,严重的,严峻的,艰难的"
settle,"v.安定,安顿;停息;定居;解决,调停"
setback,n.挫折；失效；复发；倒退
reciprocal,"a.相互的,往复的,互利的"
recipient,"a.接受的,感受性强的?n.接受者,感受者,容器"
pinch,"v.捏,掐,拧;收缩;紧急关头;匮乏;压力"
pierce,"v.剌穿,刺破"
phenomenon,"n.现象,稀有现象,珍品,奇迹,杰出人才"
phase,"n.阶段,状态,时期;相,相位"
petition,"n.请愿书,申请书?v.(向…)请愿,正式请求"
orient,"n.东方,亚洲?v.使朝东,为…定位,使适应"
linger,"v.逗留,徘徊,拖延,留恋,浪费光阴,苟延残喘"
limp,"a.柔软的,易曲的?v./n.蹒跚,跛行"
impulse,"v.推动?n.推动;冲动,刺激"
impression,"n.印象,感想;盖印,压痕"
impress,"v.(on)印,盖印;留下印象,引人注目"
impose,v.征(税);(on)把…强加给
implement,"n.(pl.)工具,器具?v.贯彻,实现"
imperative,n.命令;需要;规则;祈使语气a.强制的;紧急的
impart,vt.传授，给予；告知，通知
impair,"v.损害,损伤;削弱,减少"
hint,"n.暗示,提示,线索?v.暗示,示意"
hinder,"v.(from)阻止,妨碍?a.后面的"
grieve,"v.使悲伤,使伤心"
gravity,"n.重力,引力;严肃,庄重"
flourish,"n./v.繁荣,茂盛,兴旺"
fling,"v.(用力地)扔,抛,丢"
flee,v.逃走;逃避
desirable,"a.值得做的;合意的,称心的;期望得到的"
designate,"v.指明,指出;任命,指派"
derive,v.取得;导出;引申;来自;源自;出自
deprive,"vt.剥夺,夺去,使丧失"
meditate,"v.想,考虑,(尤指宗教上的)沉思,冥想"
versus,"prep.(vs.)…对…(在诉讼,比赛等);与…相对"
verge,"n.边,边缘?v.濒临"
verdict,"n.(陪审团的)裁决,判决；判断；定论"
verbal,"a.用言辞的,用文字的;口头的;动词的"
chip,"n.切屑,碎片;(土豆等的)薄片;集成电路块"
cherish,vt.抱有，怀有(希望等)；爱护，抚育；珍爱
bolt,"n.螺栓,(门,窗的)插销?v.闩(门),关窗,拴住"
bonus,"n.奖金,红利"
bold,"a.大胆的,勇敢的;冒失的;黑体的,粗体的"
boast,"v.(of,about)自夸,夸耀?n.自夸,大话"
vessel,"n.容器,器皿;船,舰;管,血管"
vertical,"a.垂直的,竖的?n.垂线"
sensation,"n.感觉,知觉;激动,轰动,轰动一时的事情"
rear,"n.后面,背后,后方?v.饲养,抚养,栽培,举起"
raw,"a.未煮过的,生的;未加工过的,未经训练的"
rational,"a.理性的,合理的"
ratio,"n.比,比率"
rap,"n.叩击,轻拍,斥责?v.敲,拍,打,斥责,使着迷"
rake,"n.耙子,耙机?v.耙;搜索,探索"
